id, iata, icao, model
145,B72,B720,Boeing 720B pax
146,BE1,B190,Beechcraft 1900/1900C/1900D
147,BEH,B190,Beechcraft 1900D
148,BES,B190,Beechcfrat 1900/1900C
149,BNI,BN2P,Pilatus Britten-Norman BN-2A/B Islander
150,BNT,TRIS,Pilatus Britten-Norman BN-2A Mk III Trislander
151,CCJ,CL60,Canadair Challenger
152,CCX,GLEX,Canadair Global Express
153,CD2,NOMA,Government Aircraft Factories N22B / N24A Nomad
154,CL4,CL44,Canadair CL-44
155,CN7,C750,Cessna 750 Citation X
156,CR1,CRJ1,Canadair Regional Jet 100
157,CR2,CRJ2,Canadair Regional Jet 200
158,CR7,CRJ7,Canadair Regional Jet 700
159,CR9,CRJ9,Canadair Regional Jet 900
160,CRA,CRJ9,Canadair Regional Jet 705
161,CRK,CRJX,Canadair Regional Jet 1000
162,CRV,S210,Aerospatiale (Sud Aviation) Se.210 Caravelle
163,CS2,C212,CASA / IPTN 212 Aviocar
164,CS5,CN35,CASA / IPTN CN-235
165,CV2,CVLP,Convair CV-240 pax
166,CV4,CVLP,Convair CV-440 Metropolitan pax
167,CV5,CVLT,Convair CV-580 pax
168,CVV,CVLP,Convair CV-240 Freighter
169,CVX,CVLP,Convair CV-440 Freighter
170,CVY,CVLT,Convair CV-580 / 600 / 640 Freighter
171,CWC,C46,Curtiss C-46 Commando
172,D10,DC10,Douglas DC-10 pax
173,D11,DC10,Douglas DC-10-10/15 pax
174,D1C,DC10,Douglas DC-10-30/40 pax
175,D1F,DC10,Douglas DC-10 all Freighters
176,D1M,DC10,Douglas DC-10 all Combi models
177,D1X,DC10,Douglas DC-10-10 Freighter
178,D1Y,DC10,Douglas DC-10-30 / 40 Freighters
179,D28,D228,Fairchild Dornier Do.228
180,D38,D328,Fairchild Dornier Do.328
181,D3F,DC3,Douglas DC-3 Freighter
182,D6F,DC6,Douglas DC-6A/B/C Freighter
183,D8L,DC86,Douglas DC-8-62 pax
184,D8Q,DC87,Douglas DC-8-72 pax
185,D8T,DC85,Douglas DC-8-50 Freighter
186,D8Y,DC87,Douglas DC-8-71 / 72 / 73 Freighters
187,D91,DC91,Douglas DC-9-10 pax
188,D92,DC92,Douglas DC-9-20 pax
189,D93,DC93,Douglas DC-9-30 pax
190,D94,DC94,Douglas DC-9-40 pax
191,D95,DC95,Douglas DC-9-50 pax
192,D9C,DC93,Douglas DC-9-30 Freighter
193,D9D,DC94,Douglas DC-9-40 Freighter
194,D9X,DC91,Douglas DC-9-10 Freighter
195,DC3,DC3,Douglas DC-3 pax
196,DC4,DC4,Douglas DC-4 pax
197,DC6,DC6,Douglas DC6A/B pax
198,DC9,DC9,Douglas DC-9 all pax models
199,DH1,DH8A,De Havilland Canada DHC-8-100 Dash 8 / 8Q
200,DH2,DH8B,De Havilland Canada DHC-8-200 Dash 8 / 8Q
201,DH3,DH8C,De Havilland Canada DHC-8-300 Dash 8 / 8Q
202,DH4,DH8D,De Havilland Canada DHC-8-400 Dash 8Q
203,DH7,DHC7,De Havilland Canada DHC-7 Dash 7
204,DHC,DHC4,De Havilland Canada DHC-4 Caribou
205,DHD,DOVE,De Havilland DH.104 Dove
206,DHH,HERN,De Havilland DH.114 Heron
207,DHL,DHC3,De Havilland Canada DHC-3 Turbo Otter
208,DHO,DHC3,De Havilland Canada DHC-3 Otter / Turbo Otter
209,DHP,DHC2,De Havilland Canada DHC-2 Beaver
210,DHR,DH2T,De Havilland Canada DHC-2 Turbo-Beaver
211,DHS,DHC3,De Havilland Canada DHC-3 Otter
212,DHT,DHC6,De Havilland Canada DHC-6 Twin Otter
213,E70,E170,Embraer 170
214,E90,E190,Embraer 190
215,EC3,EC30,Eurocopter EC.130
216,E70,E170,Embraer 170
217,E75,E75L,Embraer 175 (Short wing)
218,E75,E75S,Embraer 175 (Long Wing)
219,E90,E190,Embraer 190
220,E95,E195,Embraer 195
221,EM2,E120,Embraer EMB.120 Brasilia
222,EMB,E110,Embraer EMB.110 Bandeirnate
223,ER3,E135,Embraer RJ135
224,ER3,E35L,Embraer Legacy 600 / Legacy 650
225,ER4,E145,Embraer RJ145 Amazon
226,F21,F28,Fokker F.28 Fellowship 1000
227,F22,F28,Fokker F.28 Fellowship 2000
228,F23,F28,Fokker F.28 Fellowship 3000
229,F24,F28,Fokker F.28 Fellowship 4000
230,F27,F27,Fokker F.27 Friendship / Fairchild F.27
231,F28,F28,Fokker F.28 Fellowship
232,F50,F50,Fokker 50
233,F5F,F50,Fokker 50 Freighter
234,F70,F70,Fokker 70
235,FK7,F27,Fairchild FH.227
236,FRJ,J328,Fairchild Dornier 328JET
237,GRG,G21,Grumman G.21 Goose
238,GRM,G73T,Grumman G.73 Turbo Mallard
239,GRS,G159,Gulfstream Aerospace G-159 Gulfstream I
240,HEC,COUC,Helio H-250 Courier / H-295 / 385 Super Courier
241,HS7,A748,Hawker Siddeley HS.748
242,I14,I114,Ilyushin IL114
243,I93,IL96,Ilyushin IL96-300 pax
244,I9F,IL96,Ilyushin IL96 Freighters
245,I9M,IL96,Ilyushin IL96M pax
246,I9X,IL96,Ilyushin IL96-300 Freighter
247,I9Y,IL96,Ilyushin IL96T Freighter
248,IL6,IL62,Ilyushin IL62
249,IL7,IL76,Ilyushin IL76
250,IL8,IL18,Ilyushin IL18
251,IL9,IL96,Ilyushin IL96 pax
252,ILW,IL86,Ilyushin IL86
