id, iata, icao, name, country_id
1079,FWA,NULL,BAER FIELD,57
1080,FPR,NULL,ST LUCIE COUNTY,57
1081,FMY,NULL,PAGE FIELD,57
1082,RSW,NULL,SOUTHWEST FLORIDA REGIONAL,57
1083,FLL,KFLL,FORT LAUDERDALE-HOLLYWOOD INTL,57
1084,FXE,KFXE,EXECUTIVE,57
1085,FNL,NULL,LOVELAND MUNICIPAL,57
1086,FNT,NULL,BISHOP,57
1087,FID,NULL,ELIZABETH FIELD,57
1088,FIL,NULL,MUNICIPAL,57
1089,FYV,NULL,MUNICIPAL (DRAKE FIELD),57
1090,XNA,NULL,NORTHWEST ARKANSAS REGIONAL,57
1091,FAR,NULL,HECTROR FIELD,57
1092,ESC,NULL,DELTA COUNTY,57
1093,DLH,KDLH,INTERNATIONAL,57
1094,DUJ,NULL,JEFFERSON COUNTY,57
1095,DUG,KDUG,BISBEE-DOUGLAS INTL,57
1096,DTW,KDTW,DETROIT METROPOLITAN WAYNE COUNTY,57
1097,DET,NULL,DETROIT CITY,57
1098,DEN,KDEN,DENVER INTL.,57
1099,DRT,KDRT,DEL RIO INTL,57
1100,DAY,NULL,JAMES COX DAYTON INTERNATIONAL,57
1101,DNV,NULL,VERMILLON COUNTY,57
1102,DFW,KDFW,DALLAS-FORT WORTH INTL,57
1103,FTW,NULL,MEACHAM FIELD,57
1104,DLS,KDLS,THE DALLES,57
1105,CBE,NULL,WILEY FORD,57
1106,LYH,NULL,PRESTON-GLENN FIELD,57
1107,LJC,NULL,INTERCONTINENTAL,57
1108,SDF,NULL,STANDIFORD FIELD,57
1109,GGG,NULL,GREGG COUNTY,57
1110,LGB,KLGB,LONG BEACH,57
1111,LGU,NULL,CACHE,57
1112,FFT,NULL,CAPITAL CITY,57
1113,LEX,NULL,BLUE GRASS,57
1114,LWS,NULL,NEZ PERC COUNTY RGNL,57
1115,LWB,NULL,GREENBRIER VALLEY,57
1116,LWK,NULL,LERWICK/TINGWALL,57
1117,LTW,NULL,ST MARYS COUNTY,57
1118,PIB,NULL,PINE BELT REGIONAL,57
1119,LBE,NULL,WESTMORELAND COUNTY,57
1120,LAS,KLAS,MCCARRAN INTL,57
1121,HSH,NULL,HENDERSON SKY HARBOR,57
1122,VGT,NULL,NORTH AIR TERMINAL,57
1123,LRD,KLRD,LAREDO INTL,57
1124,LAR,NULL,GENERAL BREES FIELD,57
1125,LPO,NULL,MUNICIPAL,57
