id,iata,icao,name
2573,NULL,SVN,Savanair (Angola) Lda.
2574,W7,SAH,Sayakhat
2575,NULL,BBN,Scampton Bae
2576,NULL,SAP,Scampton Ftu
2577,SK,SAS,Scandinavian Airlines System
2578,NULL,SCJ,Scanjet Sweden Ab
2579,NULL,YRR,"Scenic Airlines (Las Vegas, Nv)"
2580,AW,SCH,Schreiner Airways B.V.
2581,ZM,SBZ,Scibe Airlift
2582,NULL,ISP,Scientific Research Institute Of Civil Aviation
2583,NULL,SKO,Scottish Airways Flyers Ltd
2584,NULL,ASM,"Тов ""Айсмарт"""
2585,NULL,SIL,Sea Island Air Ltd.
2586,NULL,SCC,"Seacoast Airlines, Inc. (Clearwater, Fl)"
2587,NULL,ESA,Seagreen Air Transport
2588,NULL,SRG,Search And Rescue 202
2589,NULL,SRD,Search And Rescue 22
2590,NULL,XTR,Sector Airlines
2591,NULL,SVX,"Security Aviation, Inc. (Anchorage, Ak)"
2592,NULL,STG,"Sedalia, Marshall, Boonville Stage Line, Inc.  (Des Moines, Ia)"
2593,NULL,SED,"Sedona Air Center (West Sedona, Az)"
2594,NULL,GRE,Seea-Southeast European Airlines
2595,NULL,SEO,Selcon Airlines Ltd
2596,NULL,SRS,Selkirk Remote Sensing Ltd.
2597,NULL,STE,Semitool Europe Ltd
2598,SG,SMP,Sempati Air Transport P.T.
2599,NULL,SSR,"Sempati Air, Pt."
2600,NULL,SNA,"Senator Aviation Charter Gmbh, Koln"
2601,NULL,SGL,Senegalair
2602,NULL,SEL,"Sentel Corporation (Newport News, Va)"
2603,NULL,SHI,Seoul Air International
2604,NULL,ISW,Serib Wings
2605,NULL,SWZ,"Servair, Private Charter Ag"
2606,WQ,SHP,Service Aerien Francais
2607,NULL,RNS,Services Aeronautiques Roannais
2608,NULL,SHA,"Servicio Aereo De Honduras, S.A."
2609,NULL,SEJ,"Servicio Aereo Ejecutivo S.A. ""Sae"""
2610,NULL,SDH,"Servicio De Helicopteros, S.L."
2611,NULL,MSP,Servicio De Vigilancia Aerea Del Ministerio  De Seguridad Publica
2612,NULL,SEZ,Servicio Especializado De Carga Aerea (Sec)
2613,NULL,LLA,Servicio Leo Lopez S.A. De C.V.
2614,NULL,XMX,Servicios A La Navegacion En El Espacio Aereo  Mexicano (Seneam)
2615,NULL,AZN,Servicios Aereos Amazonicos
2616,NULL,AHI,"Servicios Aereos De Chihuahua Aerochisa, S.A. De C.V."
2617,NULL,SAD,Servicios Aereos De La Capital
2618,NULL,AGE,"Servicios Aereos De Los Angeles, S.A. De C.V."
2619,NULL,SAR,Servicios Aereos De Pilotos Ejecutivos
2620,NULL,GOL,"Servicios Aereos Del Golfo, S.A. De C.V."
2621,NULL,NAZ,"Servicios Aereos Del Nazas, S.A. De C.V."
2622,NULL,AOS,"Servicios Aereos Del Sol, S.A. De C.V."
2623,NULL,SDV,Servicios Aereos Del Vaupes Ltda.
2624,NULL,LGU,"Servicios Aereos Ejecutivos De La Laguna,S.A. De C.V."
2625,NULL,SJA,"Servicios Aereos Especiales De Jalisco, S.A. De C.V."
2626,NULL,KSP,Servicios Aereos Especializados En  Transportes Petroleros
2627,NULL,GDE,"Servicios Aereos Gadel, S.A. De C.V."
2628,NULL,MRI,"Servicios Aereos Moritani, S.A. De C.V."
2629,WB,SAN,Servicios Aereos Nacionales (San)
2630,NULL,SNE,"Servicios Aereos Norte Sur, S.A. De C.V."
