id,iata,icao,name
2942,NULL,TXN,"Texas National Airlines (San Antonio, Tx)"
2943,NULL,TGC,Tg Aviation Ltd
2944,NULL,EGP,Thai Aerospace Services Co. Ltd.
2945,TG,THA,Thai Airways International Ltd.
2946,NULL,TFH,"Thai Flying Helicopter Service Co., Ltd."
2947,NULL,TMQ,Thames Air Services & Charter Ltd.
2948,NULL,TQF,The 32 (Royal) Squadron
2949,NULL,BAH,The Amiri Flight-Bahrain
2950,NULL,AWA,The Atlantic Airline (Gambia) Ltd
2951,NULL,TBL,"The Berline, Berlin-Brandenburgisches  Luftfahrtunternehmen Gmbh (Berlin-Schonefeld)"
2952,NULL,BLM,The Black Magic Project Ltd
2953,NULL,TRN,Theron Airways
2954,NULL,THU,Thunder Airlines Ltd
2955,4A,TBD,Thunderbird Tours
2956,NULL,THG,Thurston Aviation Ltd.
2957,NULL,MOH,Tigerfly
2958,NULL,XNV,"Tigin Ltd. D/B/A Navinc Airlines  Services (Honolulu, Hi)"
2959,NULL,THD,Tim Horton Donuts
2960,ZT,AWC,Titan Airways Ltd
2961,NULL,TLS,"Tlc Air, Inc. (Carrolton, Tx)"
2962,NULL,NTR,Tnt International Aviation
2963,NULL,TGA,Togo Airlines
2964,NULL,TOL,"Tol-Air Services, Inc. (San Juan, Pr)"
2965,NULL,TMK,"Tomahawk Airways, Inc. (Alcoa, Tn)"
2966,NULL,TOP,Top Air Havacilik Sanayi Ve Ticaret A.S.
2967,NULL,CHE,"Top Flight Air Service, Inc. (Tampa, Fl)"
2968,P9,TPI,Topair
2969,NULL,TOF,Topcliffe Ftu
2970,NULL,TOR,Toronto Airways Ltd.
2971,NULL,TTL,Total Linhas Aereas S/A
2972,NULL,TUG,Touch And Go Ltd
2973,FF,TOW,Tower Air Inc.
2974,NULL,TOY,Toyota Canada Inc
2975,NULL,TGE,Trabajos Aereos S.A.
2976,8P,TDR,Trade Air
2977,NULL,TMM,"Traffic Management Corporation (Tmc) Airlines  (Ypsilanti, Mi)"
2978,NULL,HBA,"Trail Lake Flying Service, Inc. D/B/A  Harbor Air (Seward, Ak)"
2979,NULL,TRR,Tramson Limited
2980,NULL,TRB,Trans Air Bretagne
2981,NULL,TRC,"Trans Air Charter, Inc. (Fullerton, Ca)"
2982,NULL,GTG,Trans Air Globe
2983,NULL,TWW,Trans Air Welwitchia
2984,NULL,RTM,Trans Am Compania Ltda.
2985,NULL,CLR,"Trans America (Englewood, Co)"
2986,NULL,TVA,Trans America Airlines Inc.
2987,NULL,TRT,Trans Arabian Air Transport
2988,NULL,LTA,Trans Atlantis
2989,NULL,CTA,"Trans Caribe, S.A. De C.V."
2990,NULL,TCC,Trans Continental Airlines
2991,NULL,TCN,"Trans Continental Airlines (Ypsilanti, Mi)"
2992,NULL,TEA,Trans European Airways
2993,NULL,TSW,"Trans European Airways (Tea) S.A., Bale"
2994,NULL,TFR,Trans European Airways Sa
2995,NULL,THZ,Trans Helicoptere Service
2996,NULL,TIA,Trans International Airlines
2997,NULL,TRD,Trans Island Air
2998,JQ,JQA,Trans Jamaican Airlines Ltd.
2999,TL,TMA,Trans Mediterranean Airlines (Tma)
3000,NULL,TMT,"Trans Midwest Airlines, Inc. (Columbus, Oh)"
3001,NULL,TNT,Trans North Turbo Air Ltd.
3002,NULL,TSR,Trans Service Airlift
3003,AX,LOF,"Trans States Airlines, Inc. D/B/A Trans   World Express"
3004,NULL,TWG,Trans Wing A/S
3005,TW,TWA,Trans World Airlines Inc.
3006,NULL,RBD,"Trans World Express, Inc. (Philadelphia, Pa)"
3007,NULL,TSF,Trans-African Airways Inc.
3008,NULL,TSN,Trans-Air Services Limited
3009,NULL,TSG,Trans-Air-Congo
3010,TY,GJB,"Trans-Air-Link Co. (Miami, Fl)"
3011,NULL,TGL,Trans-Atlantic Airlines Limited
3012,NULL,TCH,Trans-Charter
3013,NULL,TCE,"Trans-Colorado Airlines, Inc. (Gunnison, Co)"
3014,NULL,TRE,Trans-Eastern Airlines Ltd.
3015,NULL,TFA,"Trans-Florida Airlines (Daytona Beach, Fl)"
3016,KI,KCA,Aviatrans Kiev
3017,NULL,TPY,Trans-Provincial Airlines Ltd.
3018,NULL,TSA,Transair France
3019,NULL,TSM,Transair Mali S.A.
3020,NULL,TNP,Transalp
3021,NULL,TAS,Transalsace
3022,NULL,TRV,Transavia (Pty) Ltd.
3023,HV,TRA,Transavia Airlines
3024,NULL,TXC,Transaviaexport
3025,NULL,TVT,"Transaviati0n, S.A."
3026,NULL,TVO,Transavio Di I. Ballerio
3027,TR,TBA,Transbrasil S.A. Linhas Aereas
3028,NULL,NOE,Transcaraibes Air International
3029,NULL,TDA,Transcarga S.A.
3030,NULL,TVN,Transcolombiana De Aviacion S.A.
3031,NULL,TCP,Transcorp Airways
3032,T4,TRL,Transeast Airlines
3033,NULL,TSI,Transit Airways
3034,NULL,TLA,Translift Airways Ltd
3035,NULL,TLX,Translux International Airlines S.A.
3036,NULL,TMD,Transmed Airlines
3037,NULL,TRZ,"Transmeridian Airlines (Houston, Tx)"
3038,NULL,TSE,Transmile Air Services (M) Sdn. Bhd.
3039,NULL,CTR,Transport Air Centre
3040,NULL,TFI,"Transport Facilitators, Inc. (Houston, Tx)"
3041,NULL,TRS,Transport International Aerien
3042,NULL,TMX,Transportacion Aerea Mexicana (Tam)
3043,NULL,FRU,"Transportadora Fruyleg, S.A. De C.V."
3044,NULL,DEE,"Transportation America Corporation D/B/A  Dixie Airways (Nashville, Tn)"
3045,NULL,EAA,"Transporte Aereo Andino, S.A. (Taan)"
3046,NULL,TAZ,Transporte Aereo De La Amazonia
3047,NULL,TDO,Transporte Aereo Dominicano (Trado)
3048,NULL,TAD,"Transporte Aereo Dominicano, S.A."
3049,NULL,HRT,Transporte Aereo Rioplatense
3050,NULL,TCB,Transporte Del Caribe
3051,NULL,TTA,Transporte E Trabalho Aero
3052,NULL,EAR,"Transporte Ejecutivo Aereo, S.A. De C.V."
3053,NULL,TBC,"Transportes Abc, S.A. De C.V."
3054,NULL,BOL,Transportes Aereos Bolivianos (Tab)
3055,NULL,THO,Transportes Aereos Centroamericanos De Honduras (Taca De Honduras)
3056,VR,TCV,Transportes Aereos De Cabo Verde - Tacv
3057,NULL,TES,Transportes Aereos De El Salvador S.A. De C.V. (Taes)
3058,NULL,TPX,"Transportes Aereos De Xalapa, S.A. De C.V."
3059,NULL,STU,Transportes Aereos Fueguino
3060,NULL,THS,"Transportes Aereos Hispanos, S.A."
3061,NULL,MNO,"Transportes Aereos Mangino, S.A. De C.V."
3062,NULL,TPA,"Transportes Aereos Mercantiles Panamericanos  S.A., ""Tampa"""
3063,NULL,TAE,Transportes Aereos Militares Ecuatorianos C.A. (Tame)
3064,NULL,NQN,Transportes Aereos Neuquen
3065,T8,NEQ,Transportes Aereos Neuquinos Sociedad  Del Estado (T.A.N.S.E.)
3066,NULL,TPG,"Transportes Aereos Pegaso, S.A. De C.V."
3067,TP,TAP,"Transportes Aereos Portugueses, E.P."
3068,NULL,ETM,"Transportes Aereos Tamaulipas, S.A. De C.V."
3069,VW,TAO,Transportes Aeromar
3070,NULL,TCS,Transportes De Carga Aerea Especializada  Y Servicios Aeronauticos
3071,NULL,TPZ,"Transportes La Paz, S.A. De C.V."
3072,NULL,TPT,Transportes Transpenta Ltda.
3073,NULL,GBU,Transports Aeriens De La Guinee-Bissau
3074,NULL,TSB,Transports Aeriens Du Benin (T.A.B.)
3075,NULL,TRM,Transports Aeriens Mediterraneens
3076,NULL,TST,Transtar Airliner
3077,NULL,TTC,Transteco
3078,NULL,TAW,"Transway Air Services, Inc."
3079,NULL,TQA,Transwede Airways Ab
3080,NULL,TWT,Transwest Airlines (Nig)
3081,NULL,TRW,"Transwestern Airlines Of Utah (Logan, Ut)"
3082,NULL,GLB,Tranzglobal Holdings Ltd
3083,NULL,TAX,Travelair Gmbh And Co. Kg
3084,NULL,TKE,Trek Airways
3085,NULL,TRU,Triangle Airline (Uganda) Ltd
3086,NULL,TIX,Triax Airlines Ltd.
3087,BW,BWA,Bwia West Indies Airways Limited
3088,NULL,TBH,Trinity Air Bahamas
3089,NULL,TRY,"Tristar Airlines, Inc. (Las Vegas, Nv)"
3090,NULL,DRC,Triton Airlines Inc.
3091,OR,TFL,TUI Airlines Nederland
3092,NULL,TSV,Tropair Airservices
3093,NULL,TRO,"Tropic Airlines-Air Molokai(Honolulu, Hi)"
3094,NULL,TOS,Tropical Air Services
3095,BN,TSS,Tropical Sea Airlines
3096,NULL,TBR,Tubelair
3097,NULL,TLP,Tulip Air
3098,NULL,TUL,Tulpar
3099,TU,TAR,Tunis Air - Societe Tunisienne De L'Air
3100,NULL,TAJ,"Tunisavia - Societe De Transports, Services Et  Travaux Aeriens"
3101,NULL,TUP,Tupolev Aerotrans
3102,NULL,URN,Turan Air
3103,NULL,TUV,Turavia
3104,NULL,TBN,Turbine Helicopters Ltd
3105,NULL,THK,Turk Hava Kurumu Hava Taksi Isletmesi
3106,TK,THY,Turkish Airlines Inc.
3107,T5,TUA,Turkmenistan Airlines
3108,NULL,TCI,Turks And Caicos National Airline
3109,NULL,TNH,Turnhouse Flying Club
3110,NULL,TWO,Twente Airlines
3111,NULL,TWJ,Twinjet Aircraft Ltd
3112,NULL,TYE,Tyee Airways Ltd.
3113,VO,TYR,Tyrolean Airways
3114,NULL,TJS,Tyrolean Jet Service
3115,NULL,TYM,Tyumen Airlines
3116,NULL,TYN,Tyumenavia
3117,US,USA,U.S. Air
3118,NULL,CPF,"U.S. Air Force Auxiliary, Civil Air Patrol (Maxwell Afb, Al)"
3119,NULL,JUD,"U.S. Department Of Justice, Air Transport Branch  (Pineville, La)"
3120,NULL,USX,"U.S. Express (Plymouth, Ma)"
3121,NULL,USJ,"U.S. Jet, Inc. (Washington, Dc)"
3122,NULL,MSH,"U.S. Marshals Service,  U.S. Department Of Justice (Washington, Dc)"
3123,NULL,UAS,Uas - Four
3124,NULL,UAA,Uas - One
3125,NULL,UAJ,Uas - Three
3126,NULL,UAG,Uas - Two
3127,NULL,UCC,Uganda Air Cargo
3128,NULL,RAU,Uganda Royal Airways
3129,NULL,UGG,Ugland Air A/S
3130,NULL,UKP,Uk Home Office
3131,NULL,RRF,Uk Royal/Positioning Flights
3132,NULL,KRF,Uk Royal/Vip Flights
3133,NULL,UKH,Ukhta Airenterprise
3134,NULL,UKL,Ukraine Airalliance
3135,NULL,UNV,Ukraine Universal
3136,NULL,ULT,"Ultrair, Inc. (Smyrna, Tn)"
3137,NULL,UHS,Ulyanovsk Higher Civil Aviation School
3138,NULL,UAI,Uni Air S.A.
3139,NULL,UFL,Unifly
3140,NULL,UNF,"Union Flights (Sacramento, Ca)"
3141,NULL,GIU,Union Guineene De Transports
3142,NULL,UFR,"United Africa Airline (Liberia), Inc."
3143,NULL,UTD,United Air
3144,NULL,UAC,United Air Charters
3145,UA,UAL,United Air Lines Inc.
3146,NULL,UHP,United Air Service
3147,NULL,UAF,United Arab Emirates Air Force
3148,NULL,UAV,United Aviation Ltd
3149,NULL,SAU,"United Aviation Services, S.A."
3150,NULL,UCS,"United Carriers Systems, Inc. (Gahanna, Oh)"
3151,5X,UPS,"United Parcel Service Company, (Louisville, Ky)"
3152,NULL,MDN,Universair
3153,NULL,UNA,Universair
3154,NULL,UVL,Universal
3155,NULL,UAT,Universal Air Transport
3156,NULL,PNA,"Universal Airlines, Inc. (Belleville, Mi)"
3157,NULL,WEC,"Universal Airlines, Inc. (Detroit, Mi)"
3158,UV,UVA,"Universal Airways, Inc."
3159,NULL,UNS,Unsped Paket Servisi Inc.
3160,NULL,URV,Uraiavia
3161,U6,SVR,Ural Airlines
3162,NULL,URL,Uralavialy
3163,U3,URA,Uralinteravia
3164,U7,JUS,"Usa Jet Airlines, Inc. (Belleville, Mi)"
3165,NULL,USF,"Usafrica Airways, Inc. (Reston, Va)"
3166,NULL,USS,"Usair Shuttle (Flushing, Nj)"
3167,HY,UZB,Uzbekistan Airways
3168,NULL,VAC,Vacationair Inc.
3169,NULL,VAK,Vak-Rosat
3170,NULL,VLN,Valan Ltd
3171,NULL,VLF,Valdresfly A.S.
3172,NULL,VAR,"Valet Air Services (S.Burlington, Vt)"
3173,NULL,VYT,Valley Ftu
3174,NULL,BNS,"Valley National Corp. D/B/A Bancstar (Phoenix, Az)"
3175,NULL,VLL,Valley Sar Training Unit
3176,NJ,VGD,"Vanguard Airlines, Inc."
3177,NULL,BAA,Vardar Air
3178,NULL,SRL,Varmlandsflyg Ab
3179,NULL,VDT,Vayudoot
3180,NULL,VEG,Vega Aircompany
3181,NULL,VAA,Venda Airways
3182,NULL,VNX,Venexcargo (Transporte Aereo De Carga S.A.)
3183,NULL,VEC,"Venezolana Servicios Expresos De Carga  Internacional, C.A."
3184,NULL,VER,"Venus, S.A."
3185,NULL,VMA,"Vero Monmouth Airlines (Vero Beach, Fl)"
3186,NULL,VPB,Veteran Air
3187,NULL,VTN,Veteran Airlines
3188,NULL,VHA,Vh-Air Industrie
3189,VP,VSP,Viacao Aerea Sao Paulo S.A. (Vasp)
3190,NULL,MBT,Vias Aereas Manabitas Cia Ltda.
3191,VA,VIA,"Viasa, Venezolana Internacional De Aviacion, S.A."
3192,NULL,VIH,Vichi
3193,NULL,VSB,Vickers Ltd.
3194,NULL,VCF,Victor Fly
3195,VI,VES,"Vieques Air Link, Inc. (Vieques, Pr)"
3196,NULL,WCY,"Viking Express, Inc. (West Chicago, Il)"
3197,NULL,VIK,"Viking International Air Freight, Inc.  (Minneapolis, Mn)"
3198,NULL,CAM,"Village Aviation, Inc. D/B/A Camai-Air (Bethel, Ak)"
3199,NULL,VKT,Vilocity
3200,NULL,VIN,"Vinair - Helicopteros, Limitada"
3201,NULL,VGS,Vings
3202,NULL,FXF,"Vip Air Charter, Inc. (Alcoa, Tn)"
3203,VS,VIR,Virgin Atlantic
3204,S5,LLX,Small Planet Airlines
3205,NULL,VSS,"Virgin Islands Seaplane Shuttle, Inc.(St.Croix,Vi)"
3206,NULL,VCT,"Viscount Air Service, Inc. (Tucson, Az)"
3207,NULL,VSN,Vision Airways Corporation
3208,NULL,VTZ,Vitjaz
3209,NULL,VIV,"Viva, Viajes Internacionales De Vacaciones, S.A."
3210,VG,VLM,Vlm Vlaamse Luchttransportmaatschappij
3211,XF,VLK,Vladivostok Air
3212,NULL,VRL,Voar Lda.
3213,OP,VLR,Volare
3214,NULL,VLA,Volga
3215,VI,VDA,Joint Stock Airline Volga-Dnepr
3216,NULL,VGV,Vologda State Air Enterprise
3217,NULL,VOL,"Volvo, Ab"
3218,NULL,VRN,Voronezhavia
3219,4V,VAL,Voyageur Airways Ltd.
3220,NULL,VSE,"Vuelos Asesorias Y Representaciones, S.A. De C.V."
3221,NULL,VEQ,"Vuelos Ejecutivos De Queretaro, S.A. De C.V."
3222,NULL,EMX,"Vuelos Exclusivos De Mexico, S.A. De C.V."
3223,NULL,VZL,Vzlyet
3224,WT,NGA,W.A.A.C. (Nigeria) Ltd. - Nigeria Airways
3225,3V,TAY,TNT Airways
3226,NULL,WIK,Waikato Aero Club (Inc)
3227,NULL,WTM,Waitemata Aero Club (Inc)
3228,NULL,WAS,Walsten Air Services
3229,NULL,WAN,Wane Aviation Ltd.
3230,NULL,WPT,Wapiti Aviation Ltd.
3231,4W,VNA,"Warbelows Air Ventures, Inc. (Fairbanks, Ak)"
3232,NULL,WTN,Warton Bae
3233,NULL,ATX,Warwickshire Aerocentre Ltd
3234,NULL,WSG,Wasaya Airways Ltd
3235,WL,WDL,WDL Aviation
3236,NULL,TDB,"Welch Aviation, Inc. (Alpena, Mi)"
3237,NULL,BNX,Welsh Dragon Aviation Ltd
3238,NULL,WNC,Wenic Air Services
3239,NULL,WSX,Wessex Air Services Ltd
3240,NULL,WCB,West Africa Airlines Ltd.
3241,PT,SWN,West Air Sweden Ab
3242,NULL,WST,West Aviation A/S
3243,NULL,WCG,West Coast Airlines Limited
3244,NULL,TEE,West Freugh Dteo
3245,3L,WIL,"West Isle Air, Inc. (Anacortes, Wa)"
3246,NULL,WEW,West Wind Aviation Inc.
3247,NULL,NLF,Westair Aviation Inc.
3248,NULL,EFF,Westair Aviation Limited
3249,OE,SDU,"Westair Commuter Airlines Inc. / United  Express (Fresno, Ca)"
3250,NULL,PCM,"Westair Industries, Inc. (Chico, Ca)"
3251,NULL,WSA,"Westates Airlines (Burlingame, Ca)"
3252,NULL,BLK,Westcoast Energy
3253,NULL,WAE,"Western Air Express (Boise, Id)"
3254,NULL,WAL,Western Arctic Air Ltd.
3255,NULL,WTV,"Western Aviators (Grand Junction, Co)"
3256,NULL,WES,Western Express Air Lines Inc.
3257,NULL,WKC,Western Kenya Aircharters Co. Ltd.
3258,W7,KMR,"Western Pacific Airlines, Inc. (Colorado Springs, Co)"
3259,NULL,WPA,Western Pacific Airservice
3260,NULL,WHE,Westland Helicopters Ltd.
3261,NULL,WRA,White River Air Services Ltd.
3262,WF,WIF,Wideroe'S Flyveselskap A/S
3263,NULL,WIG,"Wiggins Airways (Norwood, Ma)"
3264,NULL,WFO,"Wilbur'S Flight Operations (Anchorage, Ak)"
3265,NULL,WLS,"Williams Air, Inc. (Medford Lakes,Nj)"
3266,NULL,WGP,Williams Grand Prix Racing Ltd
3267,NULL,WLO,Willowair Ltd
3268,NULL,WSI,"Wind Spirit Air, Inc. (Detroit, Mi)"
3269,WM,WIA,Windward Islands Airways International N.V.
3270,NULL,WNG,Wing Airways (Pty) Ltd.
3271,NULL,WDR,Winged Russia
3272,NULL,WAT,Wings Air Transport Co.
3273,NULL,WAW,"Wings Airways (Blue Bell, Pa)"
3274,NULL,WOL,Wings Aviation  Limited
3275,NULL,WEX,"Wings Express, Inc. (San Diego, Ca)"
3276,NULL,WIN,Winlink (St. Lucia) Limited
3277,NULL,WAG,Wisconsin Air National Guard
3278,NULL,WSM,"Wisman Aviation (Ft. Wayne, In)"
3279,NULL,WIT,Wittering Ftu
3280,NULL,WOD,Woodgate Air Services
3281,NULL,WHL,Woodgate Air Services Limited
3282,NULL,WVL,Woodvale Aviation Co. Ltd.
3283,NULL,WAC,"World Air Network Co., Ltd."
3284,WO,WOA,World Airways Inc.
3285,NULL,XWW,World Weatherwatch
3286,NULL,CSW,Worldwide Air Charter Systems
3287,NULL,WWA,Worldwide Aviation Services Ltd.
3288,NULL,WRR,"Wra, Inc. (Morrisville, Nc)"
3289,NULL,TDX,"Wrangler Aviation, Inc. D/B/A Tradewinds  International Airlines (Greensboro, Nc)"
3290,NULL,WRT,"Wright Air Lines, Inc. (Cleveland, Oh)"
3291,NULL,XWS,Wsi Corporation
3292,NULL,WYC,Wycombe Air Centre
3293,NULL,WYG,"Wyoming Airlines Ltd. (Denver, Co)"
3294,NULL,XAB,"Xabre Aerolineas, S.A. De C.V."
3295,MF,CXA,Xiamen Airlines
3296,XO,CXJ,Xinjiang Airlines
3297,NULL,XPS,Xp International Bv
3298,NULL,AKY,Yak-Service
3299,NULL,KYA,Yana Air Cargo (Kenya) Limited
3300,IY,IYE,"Yemenia, Yemen Airways"
3301,NULL,ERV,Yerevan-Avia
3302,NULL,YFS,"Young Flying Service (Harlingen, Tx)"
3303,3Q,CYH,Yunnan Airlines
3304,4Y,UYA,"Yute Air Alaska (Dillingham, Ak)"
3305,2N,UMK,Yuzmashavia
3306,NULL,VYC,Yvic Airlines
3307,NULL,ZBA,Z. Boskovic Air Charters Limited
3308,NULL,ZAI,Zaire Aero Service (Zas)
3309,NULL,EZR,Zaire Express
3310,NULL,ZAR,Zairean Airlines
3311,NULL,ZAC,Zambia Airways
3312,NULL,SZX,Zambian Express Airways Limited
3313,NULL,ZAN,"Zantop International Airlines, Inc. (Ypsilanti, Mi)"
3314,ZA,ZAS,Zas Airlines Of Egypt
3315,NULL,EZT,Zenit
3316,NULL,NZE,Zenith Airlines Limited
3317,NULL,RZR,"Zephyr Express (Burbank, Ca)"
3318,NULL,CJG,Zhejiang Airlines
3319,NULL,CFZ,Zhongfei General Aviation Co.
3320,NULL,CYN,Zhongyuan Aviation Co.
3321,NULL,IMX,Zimex Aviation Ltd
3322,OD,ULA,Zuliana De Aviacion
3323,ADB,ADB,Antonov Design Bureau
3324,NH,ANA,All Nippon Airways
3325,CI,CAL,China Airlines
3326,NULL,ECE,Air-City
3327,ET,ETH,Ethiopian  Airlines
3328,NULL,EUD,Euro Mediterranean Airlines
3329,BR,EVA,Eva Air
3330,NULL,FAA,Federal Aviation Administration
3331,AE,MDA,Mandarin Airlines
3332,EW,EWG,Eurowings
3333,NULL,TGV,Sncf
3334,2R,VRR,Via Rail
3335,NULL,DBB,Deutsche Bahn (German Rail)
3336,NULL,WSP,"Worldspan (Atlanta, Ga)"
3337,H8,KHB,Khabarovsk Air Enterprise
3338,NULL,XXX,Xxx
3339,NULL,UES,Ues Avia
3340,NULL,BRK,Briansk State Air Enterprise
3341,NULL,LIP,Lip
3342,NULL,SSL,Sierra Leone
3343,CH,REA,Reach
3344,NULL,ENI,Estonia
3345,NULL,KRO,"Krocnk, Air Agency Ltd"
3346,DW,UCR,Aero-Charter Airlines
3347,NULL,MHN,United Kingdom
3348,NULL,TWN,Twn
3349,NULL,LDB,Bulgaria
3350,NULL,BED,Belgorod
3351,NULL,DLF,Iran
3352,NULL,SLU,Yugoslavia
3353,NULL,SVF,Sweden
3354,NULL,CIS,Cis Express
3355,NULL,DVN,Armenia
3356,NULL,INF,Finland
3357,NULL,VSO,Rossia
3358,NULL,CNV,U.S. Navy Reserve Logistic Air Forces
3359,NULL,AIO,Avis Airlines
3360,NULL,FUE,Fue
3361,NULL,ETO,Russia
3362,NULL,GOM,Gomelair
3363,NULL,SFD,Russia
3364,NULL,PRN,Petronord-Avia
3365,NULL,JTU,Turkmen
3366,NULL,PAV,Pav
3367,NULL,JOL,Jol
3368,S9,SKU,Sk Air S.A.
3369,NULL,AKH,Akhal
3370,NULL,UNR,Rowno
3371,YM,MGX,Montenegro Airlines
3372,NULL,CGT,"Cng-Transavia,Joint Stock Company"
3373,NULL,PIL,Lesotho
3374,NULL,NOO,Norway
3375,F7,VRE,Volare Ailines
3376,NULL,EEX,Swiss
3377,NULL,UUU,Feniks
3378,SY,JER,Usa
3379,NULL,FNH,Fnh
3380,NULL,ANP,Anp
3381,NULL,KAW,Kaz Air West
3382,NULL,LSK,Aurela
3383,NULL,DIL,Dialogaero
3384,NULL,JEK,Jet Link
3385,NULL,CGL,Siagle Air
3386,NULL,IVT,Interaviatrans Ltd
3387,NULL,UTW,Ukraine Wws
3388,NULL,MFX,Netherlands
3389,NULL,UZA,Constanta
3390,KY,HER,Usa
3391,NULL,PRX,Latvia
3392,NULL,PGE,Prestiv Avia
3393,OT,ASC,England
3394,6Z,UKS,Ukraine Cargo Airways
3395,NULL,MCB,Georgia
3396,NULL,CGI,"Cgi-Aero,Joint-Stock Air Company"
3397,Y8,ARM,Wws
3398,NULL,AOO,"Ak ,As,"
3399,NULL,UTS,State Air Traffic Service Enterprise
3400,NULL,EMY,France
3401,NULL,BOB,Poland
3402,NULL,ENH,Enh
3403,NULL,KRM,Crimea Universal Avia
3404,NULL,KRG,Krimaviamontag
3405,NULL,UZH,Yuzhnoye State Office
3406,7D,UDC,Donbassaero
3407,NULL,UPL,Ukrainian Pilot School
3408,NULL,MCS,Macedonian Airlines
3409,NULL,BAF,Belgian Air Force
3410,LE,LHS,Lugansk
3411,NULL,SUM,State Unitary Air Enterprise
3412,4M,MEN,Minskavia
3413,NULL,GZA,"Grenzland Air Service,Standtlohn"
3414,NULL,MGR,Magna Air
3415,NULL,LOY,Loydc Aviation Group Ltd
3416,F,HUA,Wws Hungary
3417,NULL,LZD,Bolgaria Wws
3418,NULL,WKH,Kharkiv State Airlines
3419,NULL,CMK,Chernomorskie Airlines
3420,NULL,EUS,Eurasia Aircompany
3421,NULL,ILV,Russia
3422,NULL,PER,Greece
3423,G,BUL,Bulgaria
3424,NULL,LIV,Liv
3425,NULL,SVB,Svea Flyg Ab
3426,NULL,OJF,Occitania Jet Fleet
3427,YC,LLM,Yamal Airlines
3428,NULL,AWL,Ooo Aircompany Awia
3429,NULL,VEA,Vea
3430,NULL,IND,Iona National Airways Limited
3431,NULL,VHN,Germany
3432,NULL,DUC,Dunkan
3433,NULL,AHC,Azalaviacargo
3434,NULL,ORM,Orel State Air Enterprise
3435,NULL,HPT,Heli-Pet
3436,NULL,JGO,Jgo
3437,NULL,UNL,Ukkk
3438,NULL,VHM,Vhm Schul- Und Charterflug
3439,NULL,UGP,Air Company Shar-Ink.Ltd
3440,NULL,KOP,Lithuania
3441,NULL,POV,Meridian
3442,NULL,SNF,Russia
3443,NULL,CIG,Sirius Aero
3444,NULL,OST,Alania Leasing Airlines
3445,NULL,URP,Urp410
3446,BV,BPA,Blue Panorama Airlines Spa
3447,G5,ENK,Joint Stock Company Enkor
3448,NULL,IFC,Indian Air Force
3449,NULL,LYT,"Apatas, Latvia"
3450,NULL,NOY,Noy Aviation Israel Ltd.
3451,NULL,EBF,Flight Charter Gmbh
3452,NULL,ADU,Air Deal
3453,NULL,GOR,Gorlica
3454,UF,UKM,Ukrainian Mediterranean Airlines Ltd
3455,8G,NGE,"Angel Airlines Co., Ltd."
3456,HJ,TMN,Tasman Cargo Airlines
3457,T0,TPU,Taca Peru
3458,FG,AFG,Ariana Afghan Airlines
3459,T3,EZE,Eastern Airways Ltd.
3460,OW,EGF,"Executive Airlines, Ins."
3461,6F,FAO,"Falcon Air Express, Inc."
3462,HU,CHH,Hainan Airlines Company Limited
3463,EC,HIN,Heli Inter Riviera
3464,J7,CVC,"Joint Stock Company ""Centre-Avia Airlines"""
3465,BB,SBS,"Seaborne Aviation, Inc."
3466,ZH,CSZ,Shenzhen Airlines
3467,R6,SBK,Air Srpska
3468,4Y,TUD,"Yute Air Alaska, Inc."
3469,NULL,TUY,Linea Turistica Aereotuy Lta. C.A.
3470,D2,SSF,Severstal Air Company ltd
3471,NULL,AMO,Air Montreal (Air Holdings Inc.)
3472,MT,JMC,Jmc Airlines Limited
3473,EC,BOS,BA European Limited t/a OpenSkies
3474,NULL,SEE,Shaheen Air Cargo (Private) Limited
3475,MC,RCH,USAF Military Airlift Command
3476,NULL,JLN,Malta
3477,NULL,FMG,"Fmg, Germany"
3478,NULL,ESL,Russia-Eastline Airlines
3479,WK,NHA,American Lines
3480,NULL,UTK,Irkutsk
3481,NULL,LRB,L R Airlines Ltd
3482,NULL,DCS,Daimler Chrysler Aviation
3483,NULL,LRO,Alrosa Avia
3484,NULL,IRS,Sirius
3485,NULL,USC,Airnet Systems Inc.
3486,C6,CJA,Canjet Airlines
3487,FW,IBX,"IBEX Airlines Co., Ltd."
3488,EE,GDW,Goldwing Airlines S.P.A.
3489,II,CSQ,"Ibc Airways, Inc."
3490,I9,AEY,Air Italy
3491,Q2,DQA,Island Aviation Services Ltd. (Maldivian)
3492,QZ,AWQ,P.T. Air Wagon International
3493,GI,IKA,Air Company Itek-Air Ltd.
3494,6D,PAS,Pt. Pelita Air Service
3495,6W,SOV,Saravia (Saratov Airlines Joint Stock Company)
3496,DJ,VOZ,Virgin Blue Airlines Pty Ltd
3497,4V,LCG,Lignes Aeriennes Congolaises
3498,5U,LDE,Lineas Aereas Del Estado
3499,RZ,LRS,Servicios Aereos Nacionales S.A. Sansa
3500,XH,XXH,Special Ground Handling Service-Xh
3501,NULL,LTF,Germany
3502,NULL,PDA,Podilia Avia
3503,3S,GUY,Air Guyane S.P.
3504,HR,HHN,Hahn Air Lines
3505,NULL,XST,Skyteam Luftfahrtunternehmen
3506,6K,RIT,Asian Spirit
3507,NULL,EFL,Eagle Air Ltd.
3508,KY,EQL,Linhas Aereas De Sao Tome E Principe
3509,P2,XAK,AirKenya Express Limited
